year,episode_number,title,airdate,rating,total_votes,desc
2002,114,Nakama no Yume ni Chikau! Kettou Mogurazuka 4-bangai,2002-06-09,7.8,543.0,"Usopp and Chopper struggle against Mr. 4 and Miss Merry Christmas, who attack them from underground and with explosive balls. Scared and badly injured, Usopp tries to flee, but stop immediately when the enemy claims that Luffy is killed by Crocodile."
2002,115,Honjitsu Daikoukai! Mane-Mane Montage!,2002-06-16,8.0,564.0,"Though badly injured, Usopp is enraged by Miss Merry Christmas's taunt. Sanji is still engaged in battle against Mr. 2 and they are evenly matched."
2002,116,Nami ni Henshin! Bon Clay Renpatsu Ballet Kenpou,2002-06-23,7.9,538.0,"Mr.2 keeps changing into Nami so that Sanji can't attack him, but then Sanji notices that Mr.2 should turn back into himself to use his Kenpo. Vivi decides to save the country by destroying the palace, but then Crocodile appears with the kidnapped King Cobra."
2002,117,Nami no Senpuu Chuuihou! Clima Takt Sakuretsu,2002-06-30,7.8,540.0,"It's a fight between Miss Doublefinger and Nami with her new weapon, Clima Tact."
2002,118,Ouke ni Tsutawaru Himitsu! Kodai Heiki Pluton,2002-07-14,7.7,531.0,"Nami manages to defeat Miss Doublefinger after several false attempts using her Clima Tact. Meanwhile, Crocodile reveals his true objective, ancient weapon Pluton, that lies somewhere in Alabasta."
2002,119,Gouken no Gokui! Koutetsu o Kiru Chikara to Mono no Kokyuu,2002-07-21,9.1,1921.0,"Zoro struggles in a fierce battle against Mr. 1, who can turn his body parts into blades. After being injured very badly, Zoro learns that his katana should be able to cut steel in order to win."
2002,120,Tatakai wa Owatta! Kooza ga Kakageta Shiroi Hata,2002-08-04,7.9,539.0,"Kohza eavesdrops the conversation between Crocodile and Vivi, and now after knowing the truth, he tries to stop the Rebel Army for attacking by raising a white flag. However, Baroque Work's infiltrator in Royal Army shots him, and Crocodile spreads sand storm everywhere, encouraging the war."
2002,121,Vivi no Koe no Yukue! Hero wa Maiorita!,2002-08-11,8.3,825.0,"Crocodile tells Vivi that he sets a bomb that will destroy Alubarna and people within. Then he drops Vivi from the top of the castle, but Luffy and Pell catch her. Luffy once again challenge Crocodile into battle, claiming that now he knows Crocodile's weakness."
2002,122,Suna Wani to Mizu Luffy! Kettou Dai 2 Round,2002-08-18,8.8,1378.0,"Luffy uses water to fight Crocodile, since water will not let Crocodile turns into sand. Meanwhile, the rest of Straw Hat crew tries to find the location of the bomb. Miss All Sunday, a.k.a Nico Robin, forces King Cobra to show her the location of Pluton."
2002,123,Wanippoi! Ouke no Haka e Hashire Luffy!,2002-08-25,8.1,556.0,"After defeating Luffy for the second time, Crocodile joins Nico Robin in the middle of her translating the Poneglyph. Robin admits that the Poneglyph does not mention Pluton at all, and Crocodile stabs her saying that she isn't useful anymore to him."
2002,124,Akumu no Toki Semaru! Koko wa Sunasunadan Himitsu Kichi,2002-09-01,8.0,546.0,"After recovering, Luffy fights Crocodile again in the tomb, this time using his blood as water replacement. He gets poisoned but still he fights Crocodile with all his might. Meanwhile, Vivi finally finds out the location of the bomb and tells the others."
2002,125,Idainaru Tsubasa! Waga Na wa Kuni no Shugoshin Pell,2002-09-08,9.0,1633.0,"Vivi manages to cut the bomb's fuses, but realizes that the bomb has been set to explode at a certain time. Only several seconds left before the bomb explodes, and suddenly, Pell appears, sacrificing himself by taking the bomb up to the sky."
2002,126,Koeteiku! Arabasta ni Ame ga Furu!,2002-09-15,9.4,2440.0,"The bomb explodes in the sky, the impact blows away the sand storm. At the same time, Luffy defeats Crocodile and punches him through the bedrock. Even so, the war is still raging, and though Vivi screams at the top of her lungs to make them stop, nobody listens to her, until the first drops of rain fall down and calm them."
2002,127,Buki yo Saraba! Kaizoku to Ikutsuka no Seigi,2002-10-06,8.0,551.0,The first rain fall in 3 years/The end of the Alabasta War!
2002,128,Kaizoku-tachi no Utage to Arabasta Dasshutsu Sakusen!,2002-10-06,8.0,540.0,"After defeating Crocodile, Luffy's crew is preparing to sail away when they find out that Mr 2 took the Going Merry and is awaiting for them at the Sandora River. He claims to need their friendship."
2002,129,Hajimari wa Ano Hi! Vivi ga Kataru Boukentan!,2002-10-20,9.1,1824.0,"Vivi gives her speech in front of the people of Alabasta today. At the same time, Straw Hat crew waits for her to come and sail with them. However, the Marine begins to chase them. It turns out that Vivi has Igaram to stand in the podium, while she and Karoo go to the promised location. In front of the crew, and heard by all of Alabasta's people, Vivi states that she loves her country and therefore she can't join Luffy. However, she hopes that they will still think of her as a friend. To prevent the Marine knows her relationship with them, Straw Hat crew answers her ..."
2002,130,Kiken na Kaori! Shichininme wa Nico Robin!,2002-10-27,8.5,1143.0,"With Mr.2's help, Straw Hat crew manages to escape from Marines. Suddenly, Nico Robin appears from the inside of the ship and persuades Luffy and the rest of the crew to let her be the seventh crew."
2002,131,Hajimete no Kranke! Rumble Ball Hiwa,2002-11-03,7.0,452.0,"Straw Hat crew lands on an uninhabited island. As usual, some of the crew is sent to gather food or survey the island. Chopper stays behind to guard the ship, but realize that Robin stays as well. Awkwardly he tells the story about his mentor, and also his first patient, Dr. Kureha."
2002,132,Koukaishi no Hanran! Yuzurenai Yume no Tame ni!,2002-11-10,6.6,453.0,"Accidentally, Luffy fishes a huge ammonite and apparently it is a kind of vehicle owned by a traveling salesman. Nami gets a pile of paper and then begins to draw the map of the world like she always dreams about, only to find that she should restart twice drawing the map of the Reverse Mountain due to the mischief of the crew."
2002,133,Uketsugareru Recipe! Curry no Tetsujin Sanji,2002-11-17,6.8,433.0,"Tajiyo, a young trainee cook in a Marine's ship falls from the ship and wakes up in Straw Hat's ship. Surprised by the quality of Sanji's food, he then goes back to his ship along with Luffy and Sanji, who helps him cook the perfect dish."
2002,134,Sakasete Misemasu! Otoko Usopp Hasshakudama,2002-11-24,6.8,437.0,"Straw Hat's crew arrives on the next island, and it seems that it is day the inhabitants of the island hold their annual fireworks show. Usopp goes to the fireworks factory run by an old man named Odama and his granddaughter, Kodama."
